"Cell1"	"Cell2"	"Cell3"	"Cell4"	"Cell5"	"Cell6"	"Cell7"	"Cell8"	"Cell9"	"Cell10"	"Cell11"	"Cell12"	"Cell13"	"Cell14"	"Cell15"	"Cell16"	"Cell17"	"Cell18"	"Cell19"	"Cell20"	"Cell21"	"Cell22"	"Cell23"	"Cell24"	"Cell25"	"Cell26"	"Cell27"	"Cell28"	"Cell29"	"Cell30"	"Cell31"	"Cell32"	"Cell33"	"Cell34"	"Cell35"	"Cell36"	"Cell37"	"Cell38"	"Cell39"	"Cell40"	"Cell41"	"Cell42"	"Cell43"	"Cell44"	"Cell45"	"Cell46"	"Cell47"	"Cell48"	"Cell49"	"Cell50"	"Cell51"	"Cell52"	"Cell53"	"Cell54"	"Cell55"	"Cell56"	"Cell57"	"Cell58"	"Cell59"	"Cell60"	"Cell61"	"Cell62"	"Cell63"	"Cell64"	"Cell65"	"Cell66"	"Cell67"	"Cell68"	"Cell69"	"Cell70"	"Cell71"	"Cell72"	"Cell73"
"MBP"	4.20583452458179	-3.54535516187588	5.89590386249742	7.56945153376778	-3.57057338628167	7.21620487110948	12.6423146726166	10.5997541941558	12.7798846343486	-1.62223935932674	13.1208828310256	0.157216169932516	-3.53309074462103	5.29068435256234	2.97920446256665	0.41610585762785	3.11458357498622	10.9567367579518	10.1046383039653	-3.9518299230974	-1.87925845842768	8.08665084896338	11.5773563731311	-3.19636292216603	-3.27993724222195	12.7798846343486	-2.31594695970603	14.2604299753788	0.307635579139128	-3.26674612298414	-2.52545808744516	-3.43164398777361	-2.86264440277209	-3.36022225922591	-1.90233220060023	4.07327169456725	12.0628398720505	-3.21365197713198	9.8641911595459	9.0110550448686	-1.43172626338607	11.5255870959041	-3.34557781926374	8.22043034539585	1.11213391086693	7.39655710007613	13.577417809887	0.882544025112965	-2.02264889953154	-2.60982033779587	-3.57057338628167	1.03540735418709	14.8240530736333	-3.35382335563782	-4.26817405501937	10.1814764252259	-0.971413513489158	-0.922233501238949	-3.82708190832407	8.44721865278432	-3.87063384630624	9.78590173728648	-3.16312352104563	4.15692233315057	8.01951667911679	-3.15476197832059	-2.9327283075887	-3.35893618221255	0.913061916843953	-3.4808334738882	-4.30211990840025	-3.15824200406801	4.34871003559811
"FTH1"	11.7758543314985	9.68949869139847	13.4008131637751	11.2510776144684	14.2604299753788	14.8240530736333	12.8438439957786	12.8438439957786	13.8564645762696	13.4008131637751	14.2604299753788	9.79473315124821	10.7136330463001	11.7562714956224	11.4293891779867	11.3971749037123	10.9657393523055	13.8564645762696	13.8564645762696	10.2859744122827	12.5861622853987	10.9089407216925	14.8240530736333	9.11209475559146	14.8240530736333	14.2604299753788	11.5773563731311	13.4008131637751	13.577417809887	12.8438439957786	12.0083417489359	9.41733831457078	10.9753136712944	10.4589300023475	12.3934073354773	13.8564645762696	12.2360047283973	9.99690494577631	14.2604299753788	11.1228193691891	13.0086833855737	11.9816469888508	9.82233252204239	11.6906095011463	11.1493520338549	13.1208828310256	13.8564645762696	10.0108504354427	9.20483799907615	10.1147080066624	11.2257798987368	11.3408712985634	14.2604299753788	10.3142526010897	14.2604299753788	13.4008131637751	13.1208828310256	13.2805583494995	9.73275254358341	9.42649350699583	10.1380162847003	12.8438439957786	10.1814764252259	11.9273334544456	11.0519459197947	10.0938470259228	9.28690659401433	9.71088028673644	12.7798846343486	10.7202937860811	11.1228193691891	10.4985024969059	12.3541103833475
"FABP4"	-4.38400045529751	-3.54535516187588	14.2604299753788	-3.67641834395408	13.577417809887	7.96072314211851	-3.85945525500272	-3.42259531703811	-3.39845790130682	14.8240530736333	-3.34871052906309	-3.24147533558598	-3.53309074462103	-4.08134345469125	-4.22096971512673	-4.2187715689323	-3.8582560309852	-3.11248928843602	-3.01497946628932	-3.9518299230974	13.1208828310256	-2.90281580811171	-1.43825252324269	-3.19636292216603	11.8732761344163	-2.35875518966778	-3.54535516187588	-3.61489321234394	14.2604299753788	13.4008131637751	-4.22096971512673	-3.43164398777361	-3.77022799489177	-3.36022225922591	-4.2187715689323	14.8240530736333	-3.89670196581787	-3.21365197713198	-3.01748760143909	-3.34871052906309	14.8240530736333	-4.2187715689323	-3.34557781926374	-3.24556412385025	-4.21987064202951	13.8564645762696	-1.21704623143761	-3.4239980362381	-3.56351393544055	-2.60982033779587	-3.76775440248572	-3.35382335563782	-4.26817405501937	-3.35382335563782	-4.26817405501937	-3.01497946628932	14.8240530736333	14.8240530736333	-3.82708190832407	1.15994151515207	-3.87063384630624	-2.65104702474832	-3.16312352104563	-3.87063384630624	-4.29715319498402	-3.15476197832059	-2.9327283075887	-3.35893618221255	-4.29715319498402	-3.4808334738882	-4.30211990840025	-3.15824200406801	-4.35724093067006
"DDC"	-4.15013720285165	-1.43825252324269	-3.51518875846807	14.2604299753788	-3.57057338628167	2.63440524061214	12.9255830010845	12.3934073354773	12.4797302286955	-1.62223935932674	12.3934073354773	11.611260744716	3.62872910976838	-2.43007956142052	-2.97399067386292	-3.41049209753179	-3.00531651194408	12.7055794016129	13.2805583494995	-3.9518299230974	-3.54752969742284	12.8438439957786	8.41286362475256	1.44693262760154	-3.27993724222195	10.9657393523055	-3.42852237160585	12.2767654299755	-4.11258362067086	-3.26674612298414	-3.01748760143909	4.34098801524736	-2.37199878832934	1.21159176603427	-4.2187715689323	-3.42540075543808	14.8240530736333	12.3934073354773	12.0976945608784	14.2604299753788	-3.44266781356818	14.8240530736333	-0.279546069466338	12.4327340763861	-4.21987064202951	-2.52545808744516	10.3647678664175	0.717843057587041	10.1098287849372	2.89017638142516	-2.37894599667357	-4.18663425700757	12.3934073354773	10.7920687969185	4.22217752061721	14.2604299753788	-0.971413513489158	-0.922233501238949	10.7136330463001	11.73293258342	10.3825161976679	10.9753136712944	9.71462976467019	-2.72179158552794	14.8240530736333	0.125193139516181	11.2621436349991	5.46046102263529	-4.29715319498402	-3.4808334738882	0.125193139516181	3.17909205275311	-4.00184010134851
"RN45S"	12.6423146726166	8.95799053688928	13.577417809887	12.1653622399241	13.8564645762696	11.5255870959041	14.8240530736333	14.8240530736333	14.8240530736333	14.2604299753788	14.8240530736333	9.49897266795905	7.0258661401064	14.2604299753788	13.4008131637751	11.73293258342	12.5287626368796	12.6423146726166	13.0086833855737	14.8240530736333	13.2805583494995	14.8240530736333	14.2604299753788	11.8039598720058	13.8564645762696	14.8240530736333	13.8564645762696	14.8240530736333	14.8240530736333	14.2604299753788	12.7798846343486	3.41708330206124	9.90753313424668	10.81927628909	12.035874257927	13.577417809887	6.527894622032	7.23406948523639	14.8240530736333	13.0086833855737	13.1208828310256	7.55436073864266	7.29894551026215	13.8564645762696	14.2604299753788	13.577417809887	14.8240530736333	7.39869064191684	3.04497553640866	7.17948815066932	10.8012109499282	10.9089407216925	11.3514058130742	10.77487313623	14.8240530736333	6.44251635382339	13.2805583494995	13.8564645762696	5.27396874523963	14.2604299753788	9.08815431689171	14.2604299753788	5.74301485671351	14.8240530736333	13.4008131637751	10.4589300023475	4.86022049784401	7.16984265247823	14.8240530736333	14.8240530736333	12.9255830010845	9.83229277678134	13.8564645762696
"LPL"	6.72148781660895	9.87955298122902	14.8240530736333	-0.983249430602301	14.8240530736333	13.4008131637751	-2.38771841817187	2.05401562504183	2.92815806764713	13.8564645762696	2.52694982496434	8.51722565187109	9.96328213205107	4.25352442471429	-1.8876516213096	5.29068435256234	8.88563027762354	5.17161622812228	2.64949561330816	-0.130430315730203	14.2604299753788	-2.90281580811171	6.66574842327353	5.9859607961626	13.4008131637751	7.8940941072059	-0.816984479752405	3.18885545554394	13.8564645762696	13.8564645762696	5.10066566417729	9.08387865798987	8.41091758062081	10.9567367579518	-0.527124013019963	14.2604299753788	1.93598887393203	10.6746649613097	2.85289294217235	1.15434516318283	14.2604299753788	-2.71578742618252	3.6432834827656	3.04497553640866	-0.453608631184582	14.2604299753788	10.2906848230786	11.5255870959041	9.7599893023315	11.9273334544456	0.725687231315062	0.8194887323738	-0.385890046679755	9.91605829472674	7.98139038551428	-2.71685883350788	14.2604299753788	13.1208828310256	10.9470694380276	7.22128493834771	11.0635774835657	2.55795056796196	10.3417097499938	0.21300515009839	-3.21028202002997	9.63456425093078	3.05673445069342	10.020002861706	0.480969641484948	3.23058808281809	2.26769762814449	5.62832927548663	-2.57029183248632
"ATP5G3"	12.7798846343486	13.577417809887	12.3541103833475	12.035874257927	12.035874257927	7.23151129610797	11.6906095011463	13.1208828310256	10.1333168144287	10.9089407216925	12.9255830010845	14.2604299753788	14.2604299753788	12.8438439957786	13.2805583494995	13.2805583494995	13.2805583494995	11.3408712985634	11.2257798987368	13.577417809887	10.77487313623	9.92500914008081	12.2360047283973	14.8240530736333	8.46021677745346	12.136427596081	12.7055794016129	12.136427596081	11.9816469888508	11.4144106094131	13.1208828310256	14.2604299753788	12.3934073354773	14.8240530736333	12.136427596081	11.73293258342	13.0086833855737	14.8240530736333	12.9255830010845	12.7798846343486	12.7798846343486	11.9536978966166	13.2805583494995	10.7448709666003	11.6266680337892	10.5407820575184	13.1208828310256	14.2604299753788	13.1208828310256	13.4008131637751	12.7055794016129	13.4008131637751	11.5255870959041	13.8564645762696	13.0086833855737	11.5455382501991	8.58159380612329	9.83557944681886	13.1208828310256	11.2510776144684	14.8240530736333	9.20483799907615	14.2604299753788	13.2805583494995	12.2037844990713	14.8240530736333	13.4008131637751	14.2604299753788	11.9536978966166	10.81927628909	13.2805583494995	14.8240530736333	11.6906095011463
"ACTC1"	-4.36228864021914	14.2604299753788	-3.51518875846807	-3.67641834395408	-3.57057338628167	-3.37902259599041	-3.85945525500272	1.14410822843676	-3.39845790130682	-1.62223935932674	-3.34871052906309	14.8240530736333	14.8240530736333	4.48702620064625	-3.51518875846807	-3.94097401555821	-4.36228864021914	-3.11248928843602	-3.01497946628932	-3.9518299230974	-3.54752969742284	-2.90281580811171	-1.43825252324269	14.2604299753788	-3.27993724222195	-2.35875518966778	-2.86264440277209	-3.61489321234394	3.85166480950064	-3.26674612298414	-2.9954393331873	13.8564645762696	-3.26904571836264	13.8564645762696	-2.49713998849933	0.256137458905277	1.29144502640397	13.577417809887	-3.01748760143909	-3.34871052906309	-3.44266781356818	-4.2187715689323	14.2604299753788	-3.24556412385025	-4.21987064202951	-2.52545808744516	-1.21704623143761	13.8564645762696	13.8564645762696	14.8240530736333	-3.69389055825818	-3.35382335563782	-4.26817405501937	14.2604299753788	2.65260129465346	-3.73036065431996	-0.971413513489158	3.97595354340114	14.2604299753788	1.15994151515207	13.2805583494995	-2.65104702474832	13.8564645762696	-3.76621990785639	-3.04292150154773	13.8564645762696	14.8240530736333	13.8564645762696	-2.3628521978922	0.909630530542888	-4.30211990840025	14.2604299753788	-4.00184010134851
"SLC25A4"	13.8564645762696	14.8240530736333	7.89649355513272	12.9255830010845	12.2767654299755	8.69735987622115	13.8564645762696	11.3408712985634	12.3541103833475	11.73293258342	12.5861622853987	13.577417809887	13.577417809887	13.577417809887	13.577417809887	13.8564645762696	13.577417809887	9.92091692010011	11.8039598720058	13.8564645762696	10.4793790862817	10.8455003736156	9.17651775600332	13.4008131637751	10.1046383039653	11.8514991532467	13.0086833855737	10.5704636705127	10.8797927852352	8.58657228672594	13.4008131637751	13.577417809887	13.8564645762696	14.2604299753788	12.4327340763861	11.6442554987305	9.51107051026691	14.2604299753788	12.7055794016129	11.9536978966166	10.2741286921221	9.1330521057842	12.7055794016129	11.7562714956224	13.4008131637751	10.81927628909	12.5861622853987	14.8240530736333	13.4008131637751	12.7798846343486	12.9255830010845	13.2805583494995	6.64491153319294	13.577417809887	11.4450472437095	9.08815431689171	12.035874257927	7.21361317557812	13.4008131637751	13.0086833855737	13.4008131637751	10.8703043023102	14.8240530736333	14.2604299753788	11.8514991532467	14.2604299753788	13.2805583494995	14.8240530736333	11.9816469888508	14.2604299753788	14.2604299753788	13.8564645762696	12.7055794016129
"TUBA1A"	14.8240530736333	12.5861622853987	11.2133441069829	14.8240530736333	9.62185466184568	6.5128306560406	13.1208828310256	12.9255830010845	12.2767654299755	7.48363073756675	13.577417809887	13.2805583494995	11.9536978966166	14.8240530736333	14.2604299753788	14.2604299753788	14.8240530736333	13.2805583494995	12.9255830010845	14.2604299753788	10.8546473927084	12.5861622853987	8.90268294923036	11.0975147166879	5.89899798235232	10.9753136712944	14.8240530736333	12.0628398720505	8.74692829182153	9.71462976467019	13.8564645762696	12.3205394250362	14.8240530736333	11.562082566111	14.8240530736333	2.45166269263116	11.9816469888508	12.6423146726166	11.9536978966166	13.8564645762696	6.37919346003487	11.8514991532467	12.4797302286955	12.9255830010845	13.1208828310256	6.0442348145588	10.6444714086043	11.4293891779867	12.1653622399241	3.42324899629397	12.6423146726166	13.1208828310256	10.7532319941391	10.835697233289	12.3205394250362	11.6266680337892	9.38972281356369	8.2384159430975	11.165094548456	13.8564645762696	11.8732761344163	9.77709000007236	11.3514058130742	13.4008131637751	13.2805583494995	12.1653622399241	11.6658916017525	11.5773563731311	14.2604299753788	12.7798846343486	13.577417809887	11.9536978966166	14.8240530736333
