"PC1" "PC2" "PC3"
"MBP" -0.037470279881748 0.0315426196383964 0.0787018933937639
"FTH1" -0.00522780548541649 0.0219219579001504 0.00400006208026547
"FABP4" 0.0287175272519962 0.102660765453819 -0.0189859641234895
"DDC" -0.0147103551861188 -0.0253113769760402 0.135392782693607
"RN45S" -0.014596837712241 0.0307943063916571 -0.0122123904423196
"LPL" 0.0415046293490716 0.0346868201497384 -0.00835150033707173
"ATP5G3" 0.00359895347234839 -0.0202969928377719 -0.0017048564573698
"ACTC1" 0.0536981180518791 -0.0789094088174728 0.0313824472945847
"SLC25A4" 0.00218485472505006 -0.0248410762634634 -0.0116143687076584
"TUBA1A" -0.0132440143668616 -0.0265687348975912 -0.00849267744086163
"CFD" 0.0249111888516215 0.0883309601693918 -0.0131953908940749
"CHCHD2" 0.000621760114122598 -0.00581090408172306 -0.00381534908497306
"SLC6A4" -0.0382152905589249 0.0209339199379749 0.113890529961648
"POSTN" 0.0186023600445856 0.0423125083237606 -0.0168631009052255
"TPH2" -0.0417556692252261 0.0209569092158208 0.115103934803435
"SLC25A5" 0.0162853348878408 -0.00643604503090686 -0.0154401474717216
"ATP5B" 0.00624826102395977 -0.00487554227649679 -0.0127649155793626
"SNHG11" -0.0502747882657087 0.00595804731836778 -0.0237325314435321
"MEG3" -0.0356519931129848 -0.0135000932089698 -0.00608756265658321
"ATP5A1" 0.0033482269907498 -0.00238879913509766 -0.00855051074689916
"ANKRD1" 0.0514922951026697 -0.0584889744443049 0.0237713216624788
"RPL4" 0.0100489936208212 -0.00759707089146579 9.67334171885608e-05
"MGST1" 0.0429068865094614 0.0472742022162045 -0.00386665131153832
"MYL2" 0.0512020699856837 -0.0726866242653691 0.0368324907905439
"CAR3" 0.0266028438457057 0.0799121540315702 -0.016004981470933
"TTC3" -0.016780690400927 -0.0106449309233096 -0.00226753767319403
"TUBB5" -0.00627800581918985 -0.0173532019843012 0.00773235112523675
"YWHAB" -0.00905656787939219 0.000622076351181043 -0.00600037332430957
"TUBA1B" -0.0011053719978488 -0.00915535013790432 0.00252913784245109
"SNAP25" -0.068806847694136 0.00202194637500747 -0.00396894561442042
"GNAS" -0.000797203094087333 -0.00607507187197228 0.00611661383603576
"SCD1" 0.00851692732722537 0.0856714850201814 0.00238190791455181
"CIDEA" 0.0318963534808249 0.0548807423736893 -0.00653910177040167
"NME2" 0.00796653817284831 -0.000668561555265231 -0.00121608872804839
"EEF1B2" 0.00966245125500817 -0.00261552908293734 0.00188721345330527
"MLF1" 0.0351015686777855 -0.0780804875671706 0.03275849120535
"APP" -0.0140029412059953 0.000498301130807656 0.00900193145224052
"FOS" 0.00621848152160105 -0.020317762511918 0.0761361371252739
"ACTB" -0.0146120992506403 0.0260514660379911 -0.0191406449716342
"MALAT1" -0.00476627000644434 -0.0029050440895857 -0.0146327361320884
"HSP90AB1" -0.00268222632093028 -0.00967326808202984 -0.00865990190868773
"ATP5C1" 0.00979024491564609 -0.0112120455133146 -0.000457130374215466
"TMEM130" -0.0539552179065234 -9.92613958279259e-05 0.00801340700129343
"MDH1" 0.00166583116468106 -0.0126821810447657 -0.0126479807250483
"TNNT2" 0.0500762462248872 -0.0706136917614823 0.0319815839816144
"STMN2" -0.0675355507508334 -0.00877080023898891 -0.0219087104013595
"NAP1L5" -0.0640126701787884 -0.00590959162756986 0.0107230158089781
"UQCRB" 0.00888554268624884 -0.00430411204612919 -0.00551810971764401
"PLN" 0.048487235481633 -0.0721222267116658 0.0351383630465121
"TMSB4X" -0.00235505918585102 -0.020539473563799 0.00153382572912703
"TUBB2A" -0.0226635458165134 -0.0074468611558196 -0.00221782707862444
"CALM2" -0.00995549767449607 -0.0062029045894295 -0.00102761735339688
"EGR1" 0.0130928196433669 -0.025411721161422 0.0325573861682737
"RTN1" -0.0697402703588208 -0.0113273400150836 -0.0126901731347368
"NDN" -0.0194466022154977 -0.0236751701960013 0.0453231721044972
"B2M" 0.018847703855629 0.0504896290094574 0.0483326414003556
"PRKAR1A" -0.00470408465862758 -0.0124806043413182 0.00687394138366933
"EEF1A1" 0.00804426431627862 -0.00115875953321661 -0.00387504691791288
"HSPA5" 0.0160314362366759 -0.0183980531701155 -0.0156690603448277
"GAP43" -0.0573865465230639 -0.0158287411963475 -0.00717286595152382
"NGFRAP1" -0.0229791977529842 -0.0532568494913824 0.0202658002769048
"YBX1" 0.0190633923521064 -0.0131774668866369 -0.0182545754198741
"S100B" -0.0207551416970178 0.0273630972495972 0.0768124583162891
"OAZ1" 0.0107551874931303 -0.012872056712098 0.0145461017825352
"SLC18A2" -0.0315300107095485 0.0210586183319368 0.105455436954673
"SMPX" 0.0488204832697103 -0.0673007904367965 0.0281524990603726
"HSPA9" 0.0073119001055061 0.00540232362862213 -0.0106591686211381
"NEXN" 0.04297968929398 -0.0568643343669172 0.027877538505265
"PLP1" -0.012242692624354 0.0182975983140279 0.0701642623827235
"ALDOA" -0.00900415433454137 0.00903757113171094 -0.00263124956021133
"ALDOC" -0.0280388960291747 0.0144012559581452 0.0818828313585075
"YWHAG" -0.0134247092562906 0.0118992163871143 -0.00899759115556837
"MTAP1B" -0.0282146735371602 -0.0127377244771206 -0.00798529388694763
"UQCRFS1" 0.0153684281233604 -0.0127137726978064 -0.0146117455317181
"SOD2" 0.011642499677896 -0.000176582365297724 -0.0213857140810037
"ETFA" 0.0355351913253548 0.0020157494378915 0.0021717935075846
"ATP5O" 0.00810382650508134 -0.0116823158194705 -0.00411526618088359
"CANX" 0.000814095568734594 -0.00798223925113974 -0.00591646542407963
"SOD1" -0.00565250117807755 0.00246711613792803 -0.00643508987963728
"TMEM66" -0.0110969591048458 -0.0181037157385808 0.00602265344387837
"ATP6V1B2" -0.0165985929369351 0.000729523127240108 0.000402578159337839
"SDHA" 0.00793910151083039 -0.000569409056813656 0.000355932742722706
"TTN" 0.036847528465278 -0.0439220194799259 -0.0018366108702794
"ACLY" -0.00934907235833619 0.0145425421802653 0.00458754893570493
"CHGB" -0.0612200518220364 -0.00572780782302918 -0.00165995039083679
"SDHC" 0.0226169575506994 -0.00975801095007364 -0.0170488911022814
"GRB10" 0.021513677511069 -0.0134743245811259 0.0483352804946936
"UQCRC2" 0.0134094962364213 -0.00950648666715471 -0.0152703436244053
"EIF4G2" 0.00685568207840301 -0.00397715138352202 -0.00844145770157306
"NDUFB3" 0.0030024204875966 -0.0111458553385711 -0.00447915324435083
"COX6C" 0.00593740321495246 -0.0116034888155948 -0.0156861817897299
"GAD1" -0.0469675536577976 -0.0115728894397597 -0.0553040007706027
"SNAP47" -0.0323987439028919 -0.0027065341884828 0.00643572786332614
"PDHB" 0.0135461011326744 -0.00896329587546879 -0.0184565015708521
"HSP90AA1" -0.00396114683414976 -0.0129814258731708 -0.00155819257949472
"WBP5" 0.00241580200612275 -0.02566701018414 0.0247322866835191
"HNRNPA2B1" 0.00805117304303976 -0.00825095971502309 -0.00681221517299372
"MAPT" -0.0616875055958724 -0.00838184463439916 -0.00479678876672254
"PRKAR1B" -0.0477683389868956 -0.00430702984044916 0.00607131402196677
"RBBP7" 0.0124384838477237 -0.0188317154613781 -0.00349357111372231
